10
testcase10 305
196 107
47 D 70
47 C 75
47 B 79
48 E 79
48 D 83
48 C 87
48 B 93
49 E 86
49 D 90
49 C 94
49 B 98
5 A 15
5 B 21
5 C 25
5 D 31
50 E 77
50 D 82
50 C 87
50 B 91
51 E 84
51 D 87
51 C 92
51 B 96
52 E 84
52 D 88
52 C 94
52 B 98
53 E 104
53 D 107
53 C 111
53 B 118
54 E 114
54 D 117
55 E 107
55 D 110
55 C 114
55 B 119
56 E 112
56 D 115
56 C 119
6 A 18
6 B 22
6 C 26
6 D 30
7 A 16
7 B 22
7 C 29
7 D 33
8 A 20
8 B 24
8 C 28
8 D 32
9 A 21
9 B 25
9 C 29
9 D 34
C D 0 31 D
C D 1 34 D
D E 1 33 E
A B 10 33 B
A B 11 35 B
B C 11 37 C
C D 11 40 D
D E 11 40 E
A B 12 39 B
B C 12 43 C
C D 12 47 D
D E 12 45 E
A B 13 40 B
B C 13 38 C
C D 13 43 D
D E 13 42 E
A B 14 36 B
B C 14 36 C
C D 14 39 D
D E 14 43 E
B C 15 41 C
C D 15 38 D
D E 15 46 E
A B 16 41 B
B C 16 40 C
C D 16 46 D
D E 16 39 E
A B 17 46 B
B C 17 46 C
C D 17 45 D
D E 17 47 E
A B 18 38 B
B C 18 39 C
C D 18 44 D
D E 18 44 E
A B 19 42 B
B C 19 45 C
C D 19 51 D
D E 19 49 E
D E 2 32 E
A B 20 44 B
B C 20 47 C
C D 20 50 D
D E 20 51 E
A B 21 43 B
B C 21 44 C
C D 21 42 D
D E 21 50 E
A B 22 47 B
B C 22 42 C
C D 22 48 D
D E 22 48 E
A B 23 45 B
B C 23 50 C
C D 23 52 D
D E 23 52 E
A B 24 51 B
B C 24 51 C
C D 24 49 D
D E 24 53 E
A B 25 48 B
B C 25 48 C
C D 25 55 D
D E 25 55 E
A B 26 49 B
B C 26 49 C
C D 26 53 D
D E 26 56 E
A B 27 52 B
B C 27 53 C
C D 27 54 D
D E 27 -1 -1
A B 28 50 B
B C 28 52 C
C D 28 56 D
D E 28 54 E
A B 29 53 B
B C 29 56 C
C D 29 -1 -1
D E 29 -1 -1
C B 3 0 B
B A 3 7 A
A B 30 55 B
B C 30 55 C
C D 30 -1 -1
D E 30 -1 -1
E D 31 6 D
D C 32 5 C
C B 32 6 B
B A 32 15 A
D C 33 10 C
C B 33 5 B
E D 34 0 D
C B 34 7 B
E D 35 10 D
D C 35 8 C
E D 37 8 D
C B 4 10 B
B A 4 6 A
A B 5 34 B
D E 5 36 E
C D 6 37 D
C D 7 41 D
D E 7 41 E
A B 8 31 B
B C 8 35 C
A B 9 37 B
B C 9 31 C
C D 9 36 D
D E 9 38 E
979
testcase16 424
274 148
0 G 2
1 G 0
10 F 15
10 E 18
10 D 22
10 C 26
10 B 30
11 D 7
11 C 11
11 B 15
12 B 0
13 E 1
13 D 9
13 C 15
13 B 20
14 F 6
14 E 15
14 D 21
14 C 25
14 B 29
15 H 3
15 G 6
15 F 9
15 E 12
15 D 16
15 C 20
15 B 24
16 A 18
16 B 25
16 C 30
16 D 34
16 E 39
16 F 42
16 G 47
17 A 27
17 B 34
17 C 42
17 D 47
17 E 51
17 F 54
17 G 58
18 A 38
18 B 43
18 C 48
18 D 52
18 E 57
18 F 60
18 G 64
19 A 27
19 B 34
19 C 38
19 D 42
19 E 46
19 F 49
19 G 52
2 E 11
2 F 14
2 G 19
20 A 26
20 B 31
20 C 36
20 D 40
20 E 44
20 F 47
20 G 50
21 A 22
21 B 32
21 C 39
21 D 43
21 E 47
21 F 50
21 G 53
22 A 32
22 B 39
22 C 43
22 D 47
22 E 51
22 F 54
22 G 57
23 A 49
23 B 55
23 C 62
23 D 66
23 E 70
23 F 73
23 G 76
24 A 57
24 B 61
24 C 65
24 D 69
24 E 73
24 F 76
24 G 79
25 A 61
25 B 66
25 C 71
25 D 75
25 E 79
25 F 82
25 G 85
26 A 41
26 B 45
26 C 51
26 D 57
26 E 63
26 F 66
26 G 70
27 A 68
27 B 73
27 C 77
27 D 81
27 E 85
27 F 89
27 G 92
28 A 55
28 B 64
28 C 73
28 D 78
28 E 82
28 F 85
28 G 88
29 A 57
29 B 63
29 C 68
29 D 72
29 E 76
29 F 80
29 G 83
3 G 0
30 A 57
30 B 61
30 C 65
30 D 69
30 E 73
30 F 76
30 G 79
31 A 56
31 B 60
31 C 64
31 D 68
31 E 72
31 F 75
31 G 78
32 A 81
32 B 92
33 A 91
35 A 91
36 H 26
36 G 29
36 F 32
36 E 35
36 D 39
36 C 43
36 B 47
37 H 19
37 G 36
37 F 39
37 E 43
37 D 47
37 C 51
37 B 56
38 H 22
38 G 35
38 F 38
38 E 41
38 D 45
38 C 49
38 B 53
39 H 10
39 G 17
39 F 38
39 E 41
39 D 45
39 C 49
39 B 53
4 G 3
40 H 42
40 G 48
40 F 51
40 E 54
40 D 58
40 C 62
40 B 66
41 H 43
41 G 48
41 F 56
41 E 61
41 D 66
41 C 70
41 B 74
42 H 51
42 G 54
42 F 57
42 E 60
42 D 64
42 C 68
42 B 72
43 H 46
43 G 51
43 F 54
43 E 58
43 D 62
43 C 66
43 B 70
44 H 66
44 G 71
44 F 74
44 E 77
44 D 82
44 C 86
44 B 90
45 H 59
45 G 73
45 F 77
45 E 80
45 D 84
45 C 88
45 B 92
46 H 69
46 G 73
46 F 76
46 E 82
46 D 87
46 C 91
47 H 68
47 G 71
47 F 74
47 E 77
47 D 81
47 C 85
47 B 89
48 H 63
48 G 67
48 F 71
48 E 77
48 D 83
48 C 88
48 B 93
49 H 57
49 G 65
49 F 70
49 E 77
49 D 83
49 C 88
49 B 94
5 F 0
5 G 3
50 H 74
50 G 80
50 F 84
50 E 87
50 D 91
50 C 95
51 H 86
51 G 90
51 F 93
6 C 13
6 D 17
6 E 22
6 F 27
6 G 30
7 B 0
7 C 4
7 D 8
7 E 12
7 F 15
7 G 18
8 B 13
8 C 20
8 D 24
8 E 29
8 F 33
8 G 36
9 B 2
G H 0 36 H
G H 1 15 H
F E 10 6 E
E D 10 20 D
D C 10 20 C
C B 10 20 B
D C 11 6 C
B A 11 19 A
B A 12 16 A
E D 13 7 D
C B 13 16 B
B A 13 17 A
F E 14 2 E
E D 14 8 D
D C 14 16 C
C B 14 21 B
B A 14 18 A
F E 15 7 E
E D 15 6 D
D C 15 8 C
B A 15 22 A
D E 16 39 E
F G 16 41 G
G H 16 49 H
B C 17 38 C
C D 17 37 D
E F 17 42 F
F G 17 48 G
G H 17 47 H
B C 18 39 C
C D 18 40 D
D E 18 43 E
F G 18 47 G
G H 18 50 H
B C 19 36 C
C D 19 38 D
F G 19 42 G
G H 19 45 H
F G 2 39 G
G H 2 40 H
A B 20 10 B
F G 20 43 G
G H 20 48 H
C D 21 39 D
D E 21 40 E
E F 21 40 F
F G 21 49 G
G H 21 44 H
B C 22 37 C
E F 22 41 F
G H 22 46 H
A B 23 37 B
B C 23 43 C
C D 23 41 D
E F 23 47 F
F G 23 50 G
G H 23 -1 -1
B C 24 47 C
C D 24 48 D
D E 24 47 E
G H 24 -1 -1
A B 25 41 B
B C 25 45 C
C D 25 45 D
D E 25 45 E
E F 25 50 F
F G 25 -1 -1
G H 25 -1 -1
A B 26 36 B
B C 26 40 C
C D 26 43 D
D E 26 41 E
E F 26 44 F
F G 26 44 G
G H 26 51 H
A B 27 47 B
B C 27 48 C
C D 27 49 D
D E 27 50 E
E F 27 -1 -1
F G 27 -1 -1
G H 27 -1 -1
A B 28 40 B
B C 28 44 C
C D 28 46 D
D E 28 46 E
E F 28 51 F
F G 28 -1 -1
G H 28 -1 -1
A B 29 42 B
B C 29 49 C
D E 29 49 E
F G 29 -1 -1
G H 29 -1 -1
G H 3 39 H
B C 30 42 C
C D 30 44 D
D E 30 44 E
E F 30 45 F
G H 30 -1 -1
A B 31 43 B
B C 31 41 C
C D 31 47 D
D E 31 48 E
E F 31 46 F
F G 31 51 G
G H 31 -1 -1
A B 32 44 B
B C 32 -1 -1
A B 33 -1 -1
A B 35 -1 -1
F E 36 16 E
E D 36 19 D
D C 36 22 C
F E 37 20 E
E D 37 17 D
E D 38 22 D
B A 38 24 A
F E 39 19 E
B A 39 30 A
G H 4 38 H
G F 40 22 F
E D 42 23 D
D C 42 29 C
F E 43 18 E
G F 45 24 F
B A 45 -1 -1
G F 46 30 F
C B 46 -1 -1
F E 48 29 E
B A 48 -1 -1
F E 49 24 E
B A 49 -1 -1
F G 5 15 G
G H 5 37 H
D C 50 -1 -1
C B 50 -1 -1
F G 6 38 G
G H 6 41 H
B C 7 11 C
C D 7 13 D
F G 7 36 G
G H 7 43 H
B C 8 15 C
E F 8 38 F
F G 8 37 G
G H 8 42 H
B A 9 21 A
1046
testcase17 429
275 152
0 G 4
1 D 12
1 E 18
1 F 21
1 G 25
10 G 14
10 F 18
10 E 30
10 D 34
10 C 39
10 B 42
11 A 16
11 B 21
11 C 24
11 D 29
11 E 34
11 F 37
11 G 42
12 A 20
12 B 26
12 C 30
12 D 35
12 E 39
12 F 43
12 G 48
13 A 18
13 B 22
13 C 25
13 D 29
13 E 33
13 F 36
13 G 41
14 A 11
14 B 15
14 C 19
14 D 23
14 E 27
14 F 30
14 G 34
15 A 55
15 B 59
15 C 62
15 D 66
15 E 71
15 F 74
15 G 78
16 A 48
16 B 52
16 C 58
16 D 62
16 E 66
16 F 69
16 G 74
17 A 51
17 B 57
17 C 60
17 D 67
17 E 73
17 F 76
17 G 80
18 A 40
18 B 48
18 C 57
18 D 61
18 E 65
18 F 68
18 G 72
19 A 43
19 B 47
19 C 50
19 D 57
19 E 62
19 F 66
19 G 70
2 B 6
2 C 9
2 D 15
2 E 19
2 F 23
2 G 27
20 A 74
20 B 79
20 C 86
20 D 91
20 E 95
20 F 98
20 G 102
21 A 68
21 B 72
21 C 81
21 D 85
21 E 90
21 F 94
21 G 99
22 A 65
22 B 71
22 C 75
22 D 80
22 E 84
22 F 87
22 G 91
23 A 77
23 B 80
23 C 83
23 D 87
23 E 91
23 F 94
23 G 98
24 A 97
24 B 108
24 C 111
24 D 116
25 A 88
25 B 91
25 C 94
25 D 98
25 E 103
25 F 106
25 G 110
26 A 81
26 B 95
26 C 99
26 D 104
26 E 110
26 F 113
27 A 114
28 H 9
28 G 15
28 F 23
28 E 26
28 D 30
28 C 35
28 B 39
29 H 37
29 G 44
29 F 49
29 E 52
29 D 56
29 C 60
29 B 63
3 E 2
3 F 10
3 G 15
30 H 35
30 G 40
30 F 44
30 E 48
30 D 52
30 C 56
30 B 60
31 H 50
31 G 59
31 F 65
31 E 68
31 D 73
31 C 78
31 B 81
32 H 39
32 G 44
32 F 48
32 E 51
32 D 55
32 C 59
32 B 62
33 H 26
33 G 35
33 F 39
33 E 42
33 D 47
33 C 52
33 B 55
34 H 37
34 G 53
34 F 59
34 E 62
34 D 66
34 C 71
34 B 74
35 H 66
35 G 71
35 F 75
35 E 78
35 D 82
35 C 87
35 B 90
36 H 25
36 G 31
36 F 35
36 E 38
36 D 42
36 C 46
36 B 49
37 H 67
37 G 73
37 F 79
37 E 84
37 D 89
37 C 94
37 B 98
38 H 70
38 G 75
38 F 83
38 E 87
38 D 91
38 C 95
38 B 98
39 H 74
39 G 80
39 F 84
39 E 87
39 D 91
39 C 95
39 B 98
4 B 4
40 H 62
40 G 67
40 F 71
40 E 74
40 D 78
40 C 82
40 B 85
41 H 76
41 G 82
41 F 91
41 E 96
41 D 101
41 C 105
41 B 108
42 H 89
42 G 97
42 F 110
42 E 118
43 H 84
43 G 90
43 F 95
43 E 100
43 D 104
43 C 112
43 B 115
44 H 102
44 G 107
44 F 111
44 E 114
44 D 118
45 H 102
45 G 107
45 F 112
45 E 115
46 H 109
48 H 116
5 G 8
5 F 12
5 E 16
5 D 20
5 C 24
5 B 27
6 G 20
6 F 24
6 E 27
6 D 31
6 C 35
6 B 38
7 F 14
7 E 18
7 D 24
7 C 28
7 B 31
8 F 11
8 E 14
8 D 18
8 C 22
8 B 25
9 D 9
9 C 14
9 B 17
G H 0 28 H
D E 1 5 E
G H 1 34 H
F E 10 14 E
E D 10 12 D
D C 10 16 C
C B 10 18 B
B A 10 16 A
A B 11 5 B
B C 11 5 C
B C 12 6 C
A B 13 8 B
B C 13 7 C
C D 13 28 D
F G 13 30 G
G H 13 31 H
B C 14 8 C
D E 14 6 E
B C 2 9 C
C D 2 8 D
D E 2 28 E
G H 2 30 H
B C 20 40 C
G H 20 46 H
G F 28 2 F
F E 28 11 E
C B 28 19 B
B A 28 17 A
H G 29 11 G
G F 29 16 F
F E 29 16 E
E D 29 17 D
D C 29 21 C
C B 29 21 B
B A 29 23 A
E F 3 8 F
F G 3 10 G
G H 3 36 H
F E 30 19 E
E D 30 16 D
D C 30 15 C
C B 30 15 B
B A 30 21 A
G F 31 15 F
F E 31 22 E
E D 31 21 D
D C 31 20 C
C B 31 25 B
B A 31 25 A
H G 32 12 G
G F 32 19 F
F E 32 18 E
E D 32 15 D
D C 32 22 C
C B 32 22 B
B A 32 20 A
H G 33 14 G
G F 33 12 F
F E 33 15 E
E D 33 18 D
D C 33 17 C
C B 33 17 B
B A 33 22 A
G F 34 18 F
F E 34 17 E
E D 34 22 D
D C 34 23 C
C B 34 23 B
B A 34 26 A
H G 35 16 G
G F 35 20 F
F E 35 23 E
E D 35 20 D
D C 35 26 C
C B 35 26 B
B A 35 -1 -1
G F 36 11 F
F E 36 12 E
E D 36 19 D
D C 36 18 C
C B 36 16 B
B A 36 15 A
H G 37 18 G
G F 37 22 F
F E 37 20 E
E D 37 25 D
D C 37 -1 -1
C B 37 24 B
B A 37 -1 -1
H G 38 15 G
G F 38 23 F
F E 38 -1 -1
E D 38 26 D
D C 38 -1 -1
C B 38 -1 -1
B A 38 -1 -1
H G 39 17 G
G F 39 21 F
F E 39 25 E
E D 39 -1 -1
D C 39 24 C
C B 39 -1 -1
B A 39 27 A
B A 4 14 A
H G 40 19 G
G F 40 17 F
F E 40 21 E
E D 40 23 D
D C 40 25 C
B A 40 24 A
H G 41 22 G
G F 41 26 F
F E 41 -1 -1
E D 41 24 D
D C 41 -1 -1
C B 41 -1 -1
B A 41 -1 -1
H G 42 21 G
G F 42 -1 -1
F E 42 -1 -1
E D 42 -1 -1
H G 43 23 G
G F 43 25 F
F E 43 26 E
E D 43 -1 -1
D C 43 -1 -1
C B 43 -1 -1
B A 43 -1 -1
H G 44 25 G
G F 44 -1 -1
F E 44 -1 -1
E D 44 -1 -1
D C 44 -1 -1
H G 45 -1 -1
G F 45 -1 -1
F E 45 -1 -1
E D 45 -1 -1
H G 48 -1 -1
G F 5 1 F
F E 5 2 E
D C 5 11 C
G F 6 14 F
F E 6 13 E
D C 6 19 C
B A 6 19 A
F E 7 1 E
E D 7 13 D
D C 7 12 C
B A 7 18 A
E D 8 11 D
D C 9 14 C
B A 9 12 A
1757
testcase18 423
269 152
0 G 2
1 G 0
10 E 3
10 D 14
10 C 19
10 B 27
11 D 5
11 C 13
11 B 18
12 C 3
12 B 8
13 A 10
13 B 19
13 C 25
13 D 29
13 E 34
13 F 38
13 G 42
14 A 31
14 B 35
14 C 40
14 D 44
14 E 49
14 F 53
14 G 57
15 A 13
15 B 22
15 C 29
15 D 34
15 E 39
15 F 45
15 G 50
16 A 21
16 B 25
16 C 30
16 D 34
16 E 39
16 F 43
16 G 47
17 A 5
17 B 18
17 C 33
17 D 37
17 E 42
17 F 46
17 G 50
18 A 13
18 B 17
18 C 22
18 D 26
18 E 31
18 F 35
18 G 39
19 A 57
19 B 62
19 C 72
19 D 77
19 E 82
19 F 86
19 G 91
2 C 4
2 D 9
2 E 16
2 F 22
2 G 27
20 A 56
20 B 61
20 C 67
20 D 71
20 E 76
20 F 81
20 G 85
21 A 48
21 B 56
21 C 61
21 D 66
21 E 72
21 F 76
21 G 80
22 A 49
22 B 55
22 C 62
22 D 70
22 E 77
22 F 83
22 G 88
23 A 39
23 B 50
23 C 60
23 D 66
23 E 73
23 F 77
23 G 81
24 A 65
24 B 69
24 C 74
24 D 78
24 E 83
24 F 87
24 G 91
25 A 64
25 B 79
25 C 86
25 D 93
25 E 98
25 F 102
25 G 106
26 A 67
26 B 83
26 C 89
26 D 93
26 E 98
26 F 102
26 G 106
27 A 52
27 B 75
27 C 83
27 D 89
27 E 94
27 F 100
27 G 104
28 A 75
28 B 86
28 C 93
28 D 99
28 E 104
28 F 108
28 G 112
29 A 83
29 B 87
29 C 92
29 D 96
29 E 101
29 F 105
29 G 109
3 F 5
3 G 11
30 A 84
30 B 88
30 C 97
30 D 102
30 E 107
30 F 111
30 G 115
31 A 111
31 B 118
32 A 95
32 B 99
32 C 104
32 D 109
32 E 114
32 F 118
33 A 97
33 B 106
33 C 115
34 A 118
35 A 112
35 B 116
36 H 8
36 G 18
36 F 25
36 E 32
36 D 37
36 C 41
36 B 47
37 H 2
37 G 9
37 F 20
37 E 26
37 D 32
37 C 36
37 B 41
38 H 3
38 G 9
38 F 13
38 E 17
38 D 22
38 C 26
38 B 31
39 H 12
39 G 18
39 F 25
39 E 37
39 D 42
39 C 48
39 B 54
4 G 0
40 H 26
40 G 32
40 F 36
40 E 40
40 D 45
40 C 49
40 B 54
41 H 32
41 G 41
41 F 47
41 E 52
41 D 57
41 C 61
41 B 66
42 H 39
42 G 47
42 F 51
42 E 55
42 D 60
42 C 64
42 B 69
43 H 54
43 G 65
43 F 69
43 E 73
43 D 80
43 C 86
43 B 92
44 H 31
44 G 36
44 F 40
44 E 44
44 D 49
44 C 53
44 B 58
45 H 67
45 G 73
45 F 80
45 E 84
45 D 89
45 C 93
45 B 98
46 H 48
46 G 54
46 F 63
46 E 81
46 D 87
46 C 93
46 B 99
47 H 68
47 G 74
47 F 79
47 E 85
47 D 92
47 C 96
47 B 103
48 H 112
48 G 119
49 H 96
49 G 103
49 F 112
49 E 117
5 F 6
5 G 10
50 H 98
50 G 105
50 F 113
50 E 118
51 H 93
51 G 102
51 F 109
51 E 113
51 D 119
52 H 107
53 H 116
6 B 2
7 B 1
8 D 5
8 C 10
8 B 15
9 C 1
9 B 6
G H 0 40 H
G H 1 36 H
E D 10 2 D
C B 10 16 B
B A 10 23 A
D C 11 13 C
C B 11 13 B
B A 11 14 A
C B 12 17 B
B A 12 18 A
G H 13 46 H
G H 14 47 H
G H 15 45 H
C D 16 36 D
D E 16 40 E
E F 16 41 F
G H 16 43 H
C D 17 39 D
D E 17 44 E
F G 17 46 G
D E 18 36 E
A B 19 41 B
C D 19 43 D
D E 19 47 E
E F 19 51 F
F G 19 51 G
G H 19 48 H
C D 2 10 D
E F 2 37 F
G H 2 41 H
D E 20 46 E
E F 20 45 F
G H 20 50 H
G H 21 51 H
A B 22 39 B
F G 22 50 G
G H 22 53 H
D E 23 43 E
G H 23 49 H
A B 24 42 B
C D 24 46 D
D E 24 45 E
F G 24 49 G
G H 24 52 H
B C 25 43 C
C D 25 47 D
D E 25 -1 -1
E F 25 -1 -1
F G 25 -1 -1
G H 25 -1 -1
B C 26 47 C
C D 26 -1 -1
D E 26 -1 -1
E F 26 49 F
F G 26 -1 -1
G H 26 -1 -1
C D 27 45 D
D E 27 -1 -1
E F 27 50 F
F G 27 48 G
G H 27 -1 -1
A B 28 43 B
B C 28 45 C
C D 28 -1 -1
D E 28 49 E
E F 28 -1 -1
F G 28 -1 -1
G H 28 -1 -1
A B 29 46 B
B C 29 46 C
C D 29 -1 -1
D E 29 51 E
E F 29 -1 -1
F G 29 -1 -1
G H 29 -1 -1
F G 3 37 G
A B 30 45 B
B C 30 -1 -1
C D 30 51 D
D E 30 50 E
E F 30 -1 -1
F G 30 -1 -1
G H 30 -1 -1
A B 31 -1 -1
B C 31 -1 -1
A B 32 47 B
B C 32 -1 -1
C D 32 -1 -1
D E 32 -1 -1
E F 32 -1 -1
F G 32 -1 -1
A B 33 -1 -1
B C 33 -1 -1
C D 33 -1 -1
A B 34 -1 -1
A B 35 -1 -1
B C 35 -1 -1
G F 36 18 F
F E 36 15 E
C B 36 21 B
B A 36 20 A
H G 37 3 G
E D 37 15 D
D C 37 14 C
C B 37 23 B
B A 37 27 A
H G 38 5 G
G F 38 2 F
F E 38 18 E
E D 38 13 D
D C 38 15 C
C B 38 14 B
B A 38 21 A
F E 39 13 E
E D 39 14 D
C B 39 19 B
G H 4 39 H
G F 40 13 F
F E 40 17 E
D C 40 23 C
C B 40 22 B
B A 40 26 A
G F 41 15 F
E D 41 21 D
D C 41 22 C
C B 41 27 B
H G 42 17 G
G F 42 14 F
F E 42 21 E
E D 42 22 D
D C 42 20 C
C B 42 24 B
G F 43 21 F
F E 43 22 E
H G 44 18 G
G F 44 16 F
F E 44 14 E
D C 44 21 C
C B 44 20 B
B A 44 25 A
G F 45 23 F
F E 46 23 E
G F 47 20 F
F E 47 24 E
F G 5 39 G
B A 6 13 A
B A 7 17 A
D C 8 18 C
C B 8 15 B
B A 8 16 A
C B 9 18 B
B A 9 15 A
1396
testcase19 501
324 175
0 E 4
0 F 10
0 G 16
1 F 9
1 G 17
10 D 12
10 C 15
10 B 21
11 E 0
11 D 6
11 C 10
11 B 16
12 E 3
12 D 11
12 C 16
12 B 21
13 E 9
13 D 12
13 C 18
13 B 26
14 G 21
14 F 31
14 E 36
14 D 39
14 C 42
14 B 47
15 G 6
15 F 13
15 E 18
15 D 21
15 C 24
15 B 30
16 F 7
16 E 12
16 D 15
16 C 18
16 B 23
17 F 0
17 E 11
17 D 15
17 C 18
17 B 24
18 F 14
18 E 24
18 D 29
18 C 32
18 B 38
19 A 18
19 B 26
19 C 33
19 D 38
19 E 41
19 F 47
19 G 52
2 G 0
20 A 20
20 B 23
20 C 30
20 D 33
20 E 40
20 F 49
20 G 55
21 A 23
21 B 26
21 C 31
21 D 34
21 E 37
21 F 42
21 G 47
22 A 22
22 B 27
22 C 33
22 D 36
22 E 39
22 F 44
22 G 49
23 A 8
23 B 18
23 C 32
23 D 36
23 E 40
23 F 45
23 G 50
24 A 47
24 B 50
24 C 55
24 D 58
24 E 61
24 F 66
24 G 71
25 A 32
25 B 35
25 C 48
25 D 52
25 E 55
25 F 61
25 G 67
26 A 35
26 B 42
26 C 52
26 D 61
26 E 71
26 F 78
26 G 85
27 A 32
27 B 38
27 C 43
27 D 46
27 E 50
27 F 55
27 G 60
28 A 35
28 B 38
28 C 43
28 D 46
28 E 50
28 F 56
28 G 61
29 A 26
29 B 30
29 C 37
29 D 40
29 E 46
29 F 51
29 G 56
3 G 2
30 A 56
30 B 59
30 C 67
30 D 70
30 E 76
30 F 81
30 G 86
31 A 53
31 B 56
31 C 61
31 D 64
31 E 67
31 F 72
31 G 77
32 A 67
32 B 71
32 C 76
32 D 80
32 E 83
32 F 89
32 G 94
33 A 63
33 B 67
33 C 76
33 D 80
33 E 85
33 F 91
34 A 74
34 B 79
34 C 84
34 D 87
34 E 90
34 F 95
35 A 63
35 B 66
35 C 72
35 D 75
35 E 78
35 F 83
35 G 88
36 A 73
36 B 77
36 C 84
36 D 88
36 E 91
37 A 85
37 B 90
38 A 92
38 B 95
39 H 34
39 G 39
39 F 47
39 E 52
39 D 56
39 C 59
39 B 64
4 C 5
4 D 8
4 E 13
4 F 18
4 G 23
40 H 3
40 G 8
40 F 13
40 E 18
40 D 22
40 C 25
40 B 30
41 H 8
41 G 22
41 F 34
41 E 40
41 D 43
41 C 46
41 B 51
42 H 12
42 G 18
42 F 23
42 E 29
42 D 32
42 C 36
42 B 41
43 H 9
43 G 16
43 F 21
43 E 26
43 D 29
43 C 32
43 B 37
44 H 25
44 G 32
44 F 39
44 E 44
44 D 47
44 C 50
44 B 55
45 H 15
45 G 23
45 F 29
45 E 36
45 D 39
45 C 42
45 B 47
46 H 21
46 G 30
46 F 35
46 E 41
46 D 44
46 C 47
46 B 53
47 H 57
47 G 68
47 F 77
47 E 88
47 D 91
47 C 94
48 H 31
48 G 36
48 F 45
48 E 50
48 D 58
48 C 61
48 B 66
49 H 56
49 G 64
49 F 72
49 E 77
49 D 81
49 C 85
49 B 90
5 C 1
5 D 4
5 E 7
5 F 12
5 G 17
50 H 38
50 G 44
50 F 50
50 E 56
50 D 59
50 C 62
50 B 67
51 H 42
51 G 48
51 F 55
51 E 60
51 D 64
51 C 67
51 B 72
52 H 89
53 H 88
53 G 93
54 H 67
54 G 81
54 F 90
55 H 67
55 G 73
55 F 78
55 E 83
55 D 87
55 C 90
56 H 58
56 G 64
56 F 69
56 E 74
56 D 77
56 C 80
56 B 85
57 H 64
57 G 72
57 F 83
57 E 89
57 D 95
58 H 85
58 G 92
59 H 73
59 G 81
59 F 88
6 D 2
6 E 6
6 F 11
6 G 16
60 H 80
60 G 86
60 F 91
61 H 84
61 G 92
7 B 6
7 C 13
7 D 18
7 E 21
7 F 29
7 G 34
8 B 5
9 E 3
9 D 9
9 C 12
9 B 17
E F 0 40 F
F G 0 43 G
G H 0 46 H
F G 1 14 G
G H 1 48 H
D C 10 23 C
C B 10 22 B
B A 10 29 A
E D 11 5 D
C B 11 23 B
B A 11 22 A
E D 12 4 D
C B 12 19 B
D C 13 20 C
C B 13 29 B
B A 13 25 A
F E 14 20 E
E D 14 28 D
D C 14 24 C
C B 14 31 B
B A 14 33 A
G F 15 6 F
E D 15 21 D
D C 15 19 C
C B 15 25 B
B A 15 26 A
F E 16 4 E
E D 16 23 D
D C 16 22 C
C B 16 20 B
F E 17 6 E
E D 17 22 D
D C 17 21 C
C B 17 21 B
B A 17 27 A
F E 18 7 E
E D 18 19 D
D C 18 28 C
C B 18 27 B
B A 18 31 A
A B 19 12 B
G H 19 47 H
G H 2 41 H
A B 20 16 B
G H 23 56 H
F G 24 57 G
F G 25 47 G
G H 25 59 H
E F 26 47 F
G H 27 54 H
F G 28 49 G
G H 29 55 H
G H 3 43 H
F G 30 60 G
G H 30 -1 -1
G H 31 61 H
E F 33 54 F
F G 34 -1 -1
F G 35 58 G
G H 35 -1 -1
E F 36 -1 -1
H G 39 21 G
G F 39 20 F
F E 39 24 E
E D 39 30 D
D C 39 35 C
C B 39 34 B
B A 39 38 A
C D 4 12 D
H G 40 6 G
G F 40 4 F
E D 40 20 D
D C 40 29 C
C B 40 28 B
B A 40 28 A
G F 41 7 F
F E 41 29 E
E D 41 31 D
D C 41 31 C
C B 41 35 B
B A 41 36 A
H G 42 5 G
F E 42 22 E
E D 42 27 D
D C 42 25 C
C B 42 24 B
B A 42 30 A
F E 43 21 E
E D 43 29 D
D C 43 27 C
C B 43 26 B
B A 43 24 A
H G 44 7 G
G F 44 19 F
F E 44 27 E
E D 44 24 D
D C 44 32 C
C B 44 32 B
B A 44 34 A
H G 45 4 G
G F 45 21 F
F E 45 23 E
E D 45 25 D
D C 45 26 C
C B 45 30 B
B A 45 35 A
G F 46 23 F
F E 46 19 E
E D 46 26 D
D C 46 30 C
C B 46 33 B
B A 46 32 A
E D 47 -1 -1
D C 47 -1 -1
C B 47 -1 -1
G F 48 22 F
F E 48 28 E
E D 48 32 D
D C 48 34 C
C B 48 37 B
B A 48 37 A
H G 49 28 G
F E 49 35 E
E D 49 36 D
D C 49 -1 -1
C B 49 -1 -1
B A 49 -1 -1
C D 5 11 D
E F 5 15 F
F G 5 42 G
H G 50 22 G
G F 50 29 F
F E 50 25 E
E D 50 33 D
D C 50 33 C
C B 50 36 B
B A 50 -1 -1
H G 51 20 G
G F 51 27 F
F E 51 31 E
E D 51 35 D
D C 51 36 C
C B 51 38 B
B A 51 -1 -1
H G 52 32 G
H G 53 -1 -1
G F 53 -1 -1
G F 54 32 F
G F 55 26 F
F E 55 32 E
E D 55 -1 -1
D C 55 -1 -1
C B 55 -1 -1
G F 56 31 F
F E 56 30 E
E D 56 34 D
D C 56 -1 -1
C B 56 -1 -1
B A 56 -1 -1
H G 57 24 G
F E 57 34 E
E D 57 -1 -1
